run,seed,sample_size,train_size,validation_size,test_size,residual_rmse,sigma_rmse,nll,crps,calibration_error,mean_predicted_sigma,training_seconds,inference_ms_per_sample,best_validation_score,best_restart,epochs_trained
0,2026,100,33,33,34,0.7118949679526911,0.14283249342550366,0.7614733631016558,0.3270653350143234,0.14469589698650842,0.4941642000758992,0.7380140839959495,0.0017022060038631454,0.22453273028914764,3,5
1,2027,100,33,33,34,0.7292643602616683,0.17537134512612612,0.6966129836430983,0.34668762097397177,0.16559460110958385,0.4834311091931289,0.48862625000765547,0.0014938824974438723,0.1735343185885579,1,22
2,2028,100,33,33,34,0.4912441095302539,0.36746567710980527,6.104782694977693,0.2633334534337161,0.2281703471431582,0.18079312065623535,0.12372529198182747,0.0015024415915831923,0.32267491094867284,1,1
3,2029,100,33,33,34,0.47605782088281656,0.20574244912189618,0.6131242547340444,0.23745218388090172,0.14460992895289215,0.4033227636270341,0.33214695801143534,0.0014313820215380367,0.15328993823160386,2,17
4,2030,100,33,33,34,0.5053162049298392,0.1640107449446036,0.5917393171324411,0.2263285105339088,0.20431424887374894,0.2362054123463324,0.2972997500037309,0.0014325881185119644,0.14052152841951965,3,14
5,2031,100,33,33,34,0.4235202913803565,0.23340088947938684,0.5673151926625261,0.21034540901147988,0.1228629406686445,0.38172142455929414,0.33280645799823105,0.002033088308320764,0.1494578873700245,4,6
6,2032,100,33,33,34,0.4898157582390323,0.23382378403277598,0.3989443648019214,0.22560808782996575,0.17497358017450726,0.39616903369929246,0.4201150409935508,0.0015134702313362675,0.16471205252356472,2,12
7,2033,100,33,33,34,0.5170794868069741,0.34350244170982014,1.4554278952235653,0.32426791093722207,0.2465701635577695,0.2990470731610859,0.11960845801513642,0.0013357939143829485,0.27383717885645276,1,1
8,2034,100,33,33,34,0.3948844207231146,0.14095279782845385,-0.12531273699054366,0.1816870581157248,0.28858965970489225,0.4204981655398614,0.20940175000578165,0.0011825879268786486,0.16884815752948482,2,7
9,2035,100,33,33,34,0.33474717442686286,0.1466173059005028,0.21683865917632314,0.1825799729073316,0.3298657072626732,0.37628267795320375,0.26769204100128263,0.0016789118115625838,0.1637817735202802,0,12
10,2036,100,33,33,34,0.4272488746194543,0.3451603503684058,2.508529113913369,0.2706293457953737,0.2340879173119063,0.2049133566340813,0.14513766698655672,0.001582117607433568,0.32891495243893554,2,1
11,2037,100,33,33,34,0.5953681768678375,0.3693255255820171,0.9062137246562845,0.3428730578286034,0.1776384384439283,0.5419111190128687,0.5973927500017453,0.0017389709896901075,0.24435417411886506,1,21
12,2038,100,33,33,34,0.644202530498284,0.403523958038895,8.706026771665673,0.33477604030334057,0.2023398335022173,0.21181979576156734,0.14234495800337754,0.0015992640435476514,0.2734275387330158,4,1
13,2039,100,33,33,34,0.6989685583769047,0.4090454428488463,2.915128838759829,0.3546175346000519,0.1799407030908821,0.3054156524705476,0.20573774998774752,0.0016580888768658042,0.20808581926436878,2,1
14,2040,100,33,33,34,0.6029253605759611,0.42913131760186524,5.8758190437349604,0.40723063998610337,0.3245191560689127,0.19007630849416526,0.13229545898502693,0.001692411708919441,0.43133540649534874,3,1
15,2041,100,33,33,34,0.6252502431331548,0.349791514229444,0.5932118232724877,0.3147492095961829,0.11841953738820177,0.5521287485781861,0.5228661249857396,0.001514705432140652,0.19171471949657568,2,36
16,2042,100,33,33,34,0.6436202202396188,0.30416354360984177,1.0573958145400228,0.30927598484885166,0.21966861510122265,0.2636040164020525,0.18407437499263324,0.0010465591913089156,0.18328919619318554,1,8
17,2043,100,33,33,34,0.5909638308319195,0.24926989580160508,2.9160518509270172,0.35233896743394116,0.3196460791533743,0.27666660998290143,0.12919112498639151,0.0011262352071592912,0.2718637877315107,0,1
18,2044,100,33,33,34,0.4490627152744428,0.3694639054781718,0.2949169545120674,0.2151972053069829,0.1088654325003311,0.4181955202505421,0.19836599999689497,0.001091911519110641,0.1345052032142184,0,4
19,2045,100,33,33,34,0.4743877013404774,0.22047813729673002,0.14733654204261204,0.21079903870607578,0.22105012490256482,0.21942236857475428,0.22076812500017695,0.0014338233193163486,0.15872934786953807,3,11
20,2046,100,33,33,34,0.6176517687234586,0.08655492552230341,0.09690350160835708,0.27139255305116144,0.18230370830034576,0.3223481501264018,0.24433099999441765,0.004738970721304855,0.14596957049351797,2,11
21,2047,100,33,33,34,0.7815229770942497,0.29950309756824134,1.4978200028981858,0.3855495688964248,0.2120450221585003,0.3055241420388967,0.2843088749796152,0.0014252351213465719,0.14781005162202995,0,4
22,2048,100,33,33,34,0.45849820535761726,0.20060055312880293,0.5136446566810834,0.2461464334949453,0.2048021111204446,0.41656127217110805,0.3305967499909457,0.001900735215338714,0.17795175221658555,3,6
23,2049,100,33,33,34,0.47107888093985706,0.4106011756699861,1.064556160488549,0.24490362435865243,0.2470436643264207,0.35640236837527844,0.14181566701154225,0.0014803826000870152,0.28437864706703686,2,1
24,2050,100,33,33,34,0.7263418535884782,0.315208322016863,0.9715664399742775,0.38269139335077246,0.26497060381462884,0.6066409684012299,0.33393779199104756,0.0014914120958351036,0.22137380061805553,1,13
25,2051,100,33,33,34,0.4199333517874424,0.15775444715735326,0.20420740096468942,0.20687347120904057,0.2573263381221149,0.35336540971899705,0.20754570799181238,0.0012880002888029114,0.20504355773900124,2,7
26,2052,100,33,33,34,0.5459172258100397,0.22512333955269243,0.8202951921597824,0.25421176179505395,0.18666391678703476,0.2797789693910038,0.23939312499715015,0.0014840590986697113,0.17516269167789866,0,6
27,2053,100,33,33,34,0.5896877182451621,0.3951548045182484,0.6275990086952837,0.289878631937742,0.12857265114738936,0.5839872998077004,0.7693076670111623,0.001387264038545682,0.19192350679939557,1,42
28,2054,100,33,33,34,0.6439554508012202,0.27227306774684834,0.9425961928090989,0.36738853712631286,0.29669720660421295,0.5130425876180913,0.5087722910102457,0.0014607940101996064,0.19820974875365308,0,15
29,2055,100,33,33,34,0.31271882747631446,0.18752129374783333,0.02732882590233586,0.1509567589073896,0.1551381574222538,0.33098990878878337,0.28667366702575237,0.001182588782873662,0.12712760662121017,4,5
30,2056,100,33,33,34,0.4184862111086133,0.32616202748689,0.3166403087096201,0.21921046193834334,0.18755987299319132,0.448844433915999,0.17817933298647404,0.00142279382356826,0.17075834285350708,4,6
31,2057,100,33,33,34,0.6319756920889542,0.23793230548842798,0.5600936867278268,0.2923314204935753,0.18733090995481422,0.2072827290631072,0.21553662500809878,0.00151226413436234,0.20117396944610602,0,12
32,2058,100,33,33,34,0.7221812627830824,0.4149335704144798,0.944696634387915,0.35719066474590344,0.12866272567111303,0.6142856762424952,0.19254866600385867,0.0014239999205421876,0.18738292473360357,2,1
33,2059,100,33,33,34,0.42816839579189636,0.15456984667157808,-0.26866602882410784,0.17095944844057262,0.19284213423144064,0.28492489491256195,0.34146804199554026,0.0013872648945406957,0.1496533378837228,1,13
34,2060,100,33,33,34,0.34168839932761585,0.1519006840645037,0.31791593198440754,0.1612920836992687,0.15497233848009412,0.2664154014115751,0.20513587500317954,0.0011936174226267373,0.1847501170975928,3,6
35,2061,100,33,33,34,0.6190875358862904,0.34571706433402566,0.7273085350558046,0.297753494201375,0.1561775657139972,0.38850304670069624,0.24102541600586846,0.0013958239886800155,0.19676736722492175,1,2
36,2062,100,33,33,34,0.4462538224914097,0.39273325112671953,0.5748878704349344,0.24982714238698223,0.32421559620266255,0.48982483225047263,0.18694941699504852,0.001066176885026781,0.17642376770944718,2,4
37,2063,100,33,33,34,0.9184097085847999,0.3784860083722437,10.409473072277068,0.42125702096736695,0.2345803761850811,0.2373983516563174,0.12896537498454563,0.0011960886802305194,0.25077830135866636,2,1
38,2064,100,33,33,34,0.6149430648617163,0.15746303814680107,0.17336328565036213,0.26650811476845354,0.2322380505880366,0.33512203424707937,0.4689183750015218,0.0012450875467894709,0.15491204517287208,2,50
39,2065,100,33,33,34,0.5598648198805,0.0903862002128719,0.3063531015453419,0.2461229993254048,0.3249225854512594,0.4083551098745221,0.21249970901408233,0.0013039414839380804,0.1553630159837486,0,5
40,2066,100,33,33,34,0.6559537337701457,0.1647965919753181,0.4914676666326194,0.29548107729702144,0.16076366763447397,0.4362805482415028,0.3284147089871112,0.0011531767942120925,0.2212712980038931,2,21
41,2067,100,33,33,34,0.6961312983516513,0.4659697574002479,2.042640361073437,0.3960293272271058,0.19945359118462602,0.4224301723991795,0.23262500000419095,0.0010085881085080258,0.20749196216061483,1,1
42,2068,100,33,33,34,0.5168524981484819,0.13298180246274713,0.0324913573360197,0.23624663877458144,0.08911688662571526,0.32543973269164467,0.18503470899304375,0.0012683817390900325,0.12923723070048537,4,9
43,2069,100,33,33,34,0.5065221383076429,0.2125715292478923,7.363356975164385,0.2641822492321196,0.2703790469189383,0.37198261137655314,0.26110704100574367,0.0012892055297818255,0.19435706530343222,0,8
44,2070,100,33,33,34,0.20323952485741076,0.16276886328572593,-1.0116625932266197,0.08294149072385797,0.10805855321963387,0.1621887413046812,0.444454875017982,0.0015196171315277323,0.16357399590770758,0,23
45,2071,100,33,33,34,0.5198862434071586,0.1403141724879974,4.483229367146017,0.22195501717952693,0.13479816781343523,0.3363057258101383,0.22736729099415243,0.0014595588093952222,0.1761835641896302,4,7
46,2072,100,33,33,34,0.7346397081559164,0.24959600014047048,0.7531377067343463,0.3537997198703663,0.08583393577989705,0.41445520830068405,0.2517516250081826,0.0014987650930004962,0.20469048902706036,3,7
47,2073,100,33,33,34,0.6423549652004705,0.35371683248804925,3.9342589810241275,0.3401888188082086,0.2557354825580235,0.26359304442627934,0.13027395901735872,0.0014411771724767545,0.27550729287687253,4,1
48,2074,100,33,33,34,0.5727587734070924,0.3511023606759962,8.423515158266186,0.2556840373782862,0.14698247333271344,0.1493111266175241,0.15552291698986664,0.001677705714588656,0.28248110704405477,0,1
49,2075,100,33,33,34,0.4378142595339631,0.2503920226570676,0.3236586852001766,0.20692362577002632,0.3439879960041274,0.19174591101875477,0.2647574589936994,0.0012953532859683037,0.19154925970114153,1,8
50,2076,100,33,33,34,0.4353262707081734,0.20269762714129208,0.33576727795339234,0.20051329848861268,0.19077244849047126,0.27644326119832785,0.4329452499805484,0.001441176316481741,0.15759148024160738,4,34
