run,seed,train_size,validation_size,test_size,polynomial_order,mean_rmse,sigma_rmse,nll,crps,calibration_error,mean_predicted_sigma
0,2026,33,33,34,2,0.9172025937262833,0.10910048133428478,1.3502704778570789,0.5145344174555727,0.16166176213476313,0.764401072877326
1,2027,33,33,34,2,0.9522030793107433,0.21124858870004767,1.3261646139716072,0.5132698007213183,0.24718363280507283,0.9514010958906873
2,2028,33,33,34,2,0.7033827331864612,0.19197542804724566,1.2360439501071288,0.4002367286113004,0.20262831440439288,0.5153866251823157
3,2029,33,33,34,2,0.8144928816213693,0.0909475449415228,1.4430836544636523,0.4706687124085781,0.1663945332280261,0.6749556090921496
4,2030,33,33,34,2,0.7638612995154871,0.28269981688456597,1.4190998020111045,0.42883679784163414,0.29203886874808377,0.5125936381618901
5,2031,33,33,34,2,1.1404189329300882,0.27253367828704367,1.5638562372017153,0.604730025124456,0.15711864375236018,0.7756726506135501
6,2032,33,33,34,2,0.6575190693517549,0.26493848979788703,1.223457068255626,0.37357666612919166,0.08796681903287723,0.6237978937598928
7,2033,33,33,34,2,0.9004120318258428,0.18722948978403708,1.2967851731674749,0.5041525991898035,0.12039708251964498,0.8582785305751723
8,2034,33,33,34,2,0.7131813726929361,0.11401096809558714,1.071541662771222,0.4092240372686544,0.1304697455539483,0.6612608011166959
9,2035,33,33,34,2,0.7739447244012653,0.12618862397736139,1.292079914588227,0.456520019959081,0.21199443196466305,0.6593411231065484
10,2036,33,33,34,2,0.8114220204267125,0.2056167234112061,1.3359254355757733,0.4765560895740381,0.2250933237991296,0.6538218780422025
11,2037,33,33,34,2,0.8718795785725403,0.36833238579234723,1.2940926087171423,0.4810830329645197,0.26025150218527693,0.8248591266015057
12,2038,33,33,34,2,0.8152882231882977,0.20454607443965156,1.2347287503470834,0.4634211719033256,0.16906455496968587,0.9207472135997927
13,2039,33,33,34,2,0.8090348489231227,0.2651309333181739,2.4402497825723737,0.473494566680277,0.2528607011480136,0.5426245088810857
14,2040,33,33,34,2,0.9297318324316028,0.1164158494399023,1.3267422891545193,0.5147992413820023,0.13353635552200338,0.8296455646415758
15,2041,33,33,34,2,0.789047193260826,0.2763586325840477,1.2852464771083496,0.46061355275215554,0.07413441738867643,0.8433530357238456
16,2042,33,33,34,2,0.8416085529091938,0.36913752869072647,2.040811214282668,0.5123075724214683,0.2848321957546529,0.46296366274883316
17,2043,33,33,34,2,0.8895084607915051,0.18462186626037178,1.403412611944778,0.4969018392830447,0.1839972801566231,0.7410112214473485
18,2044,33,33,34,2,0.7359687419702751,0.0732991154706598,1.0737397717303583,0.42233722371711124,0.22238843189555269,0.692927229018156
19,2045,33,33,34,2,0.7278981226237478,0.18219244503473625,1.081679379320624,0.41031062068455354,0.13492800242569825,0.5906645231927312
20,2046,33,33,34,2,0.7664210174246849,0.0701058751081297,1.1763112553238486,0.4371454948461353,0.2190399357999463,0.744724196590006
21,2047,33,33,34,2,0.9810778936693181,0.2793870407175189,1.9323546904863433,0.5829071123038142,0.3132026034015086,0.5060791319459692
22,2048,33,33,34,2,0.7768430179804489,0.13962633815330908,1.16429888955515,0.43771570540906085,0.17277275835113448,0.9068990868635377
23,2049,33,33,34,2,0.640532359971369,0.20924509572347108,1.0075592293835813,0.37231004434615983,0.25136440981772334,0.5797770006392221
24,2050,33,33,34,2,0.8985290517131416,0.15083132258637133,1.5814046001698765,0.5264228701168363,0.11559349701840538,0.7927315300331244
25,2051,33,33,34,2,0.902506036414234,0.09771962599702591,1.2534835180112278,0.49441746842000556,0.24601337813191976,0.7925079162836897
26,2052,33,33,34,2,0.7813081010859712,0.056615884338702606,1.165846524955594,0.4354220214705832,0.1846367522298754,0.7231867174268309
27,2053,33,33,34,2,0.7188137998655938,0.2508090083307957,1.1129449075006168,0.40957020131274224,0.2091529692377101,0.9619193985451235
28,2054,33,33,34,2,0.899739601958713,0.30816038884344826,1.731708014292335,0.522894249203962,0.18910503898072306,0.6961153199830141
29,2055,33,33,34,2,0.860135951987604,0.16058984193701734,1.6726816321711244,0.4793065258593833,0.26583324060154223,0.67206002450173
30,2056,33,33,34,2,0.7443696303260495,0.06681693641583955,1.108260771135673,0.4175591666689604,0.1680629896793976,0.7083359796329569
31,2057,33,33,34,2,0.8214568417595206,0.22606109115755776,1.4488876259541223,0.466343289524784,0.18097833859108708,0.5820500022732401
