run,seed,train_size,validation_size,test_size,polynomial_order,mean_rmse,sigma_rmse,nll,crps,calibration_error,mean_predicted_sigma
0,2026,33,33,34,2,0.7118949679526911,0.3260585810967442,1.2233850592638331,0.3442085625239586,0.14995475463782326,0.38948129998226344
1,2027,33,33,34,2,0.7292643602616683,0.28871319168529286,1.0466491308425288,0.3660565858055881,0.18912337309465144,0.47415781028541526
2,2028,33,33,34,2,0.4912441095302539,0.40008105970939295,509.4767318181039,0.30029714352378045,0.5282109631251439,0.016924231122170452
3,2029,33,33,34,2,0.47605782088281656,0.3168779130444541,2.5397319017171034,0.24182133723174407,0.17044894706070457,0.3772727740083112
4,2030,33,33,34,2,0.5053162049298392,0.27253348546045975,1.014433626150663,0.2353282158800455,0.2137879387907476,0.2440233571146298
5,2031,33,33,34,2,0.4235202913803565,0.40494264366478655,0.5956256307534283,0.2242907051934079,0.11569512845401728,0.3686548185865027
6,2032,33,33,34,2,0.4898157582390323,0.30231762686332325,0.4898607715102963,0.24735712183263114,0.1738571488379177,0.37231594872398305
7,2033,33,33,34,2,0.5170794868069741,0.41945834577852525,21662485.163667507,0.4362175950664212,0.5294117647058824,7.85591724725978e-05
8,2034,33,33,34,3,0.3948844207231146,0.3080808741746481,0.2627850119403372,0.19977707482893547,0.22216462609043103,0.4064212677542263
9,2035,33,33,34,2,0.33474717442686286,0.27888462054220536,0.3003983598495766,0.1877173438881469,0.3297162547337575,0.44511111667378656
10,2036,33,33,34,2,0.4272488746194543,0.41632371864799766,2516479.267380624,0.3401370982708564,0.5294117647058824,0.00022426722080880096
11,2037,33,33,34,2,0.5953681768678375,0.32773722500456026,1.6290838737704072,0.3403361519467255,0.20740532282351803,0.47258260959795484
12,2038,33,33,34,2,0.644202530498284,0.44413007403873633,9727919.428914772,0.38035181489289394,0.6470588235294117,0.00020137307085325883
13,2039,33,33,34,2,0.6989685583769047,0.3725326410611406,13.435105709026262,0.36711756443347904,0.3202729469660377,0.17591610996449586
14,2040,33,33,34,2,0.6029253605759611,0.48465009731728503,767.3564327166308,0.45562715591784725,0.39995757946843524,0.04403049069449824
15,2041,33,33,34,2,0.6252502431331548,0.4276029557265303,0.8530016145468549,0.33385549748620347,0.18111944287572102,0.6249901955573557
16,2042,33,33,34,2,0.6436202202396188,0.3943548808698241,2.533282646198079,0.3248298611689921,0.25167444532151734,0.22278725877661046
17,2043,33,33,34,2,0.5909638308319195,0.20886713638111654,3.1363349134950087,0.3400442229019286,0.3623996466267392,0.16987782593479575
18,2044,33,33,34,2,0.4490627152744428,0.3633545937113322,0.5234394599183676,0.22094575125817506,0.20488505545481062,0.44090674782507716
19,2045,33,33,34,2,0.4743877013404774,0.34579857524485313,1.3798638775189023,0.23248480633587199,0.21576891916810814,0.19010714067354914
20,2046,33,33,34,2,0.6176517687234586,0.3071227693613434,1.3547487314755795,0.3209764931742699,0.19296726510136364,0.2384541869585823
21,2047,33,33,34,2,0.7815229770942497,0.323292343117115,2.8478657682955766,0.4009342836304204,0.2909916831751985,0.2367134881155191
22,2048,33,33,34,2,0.45849820535761726,0.30918735069284753,0.6314625072357957,0.2546122234564894,0.23728675504271002,0.33624339556192334
23,2049,33,33,34,2,0.47107888093985706,0.3149051288283396,3.3301352687476373,0.2347635059779807,0.24578647205129878,0.2269149329575376
24,2050,33,33,34,2,0.7263418535884782,0.34787367848376893,1.1725361163167447,0.38875458536880686,0.24372802982033398,0.6088070242877499
25,2051,33,33,34,2,0.4199333517874424,0.2731453064543266,0.3087038436058527,0.21358766948624225,0.22918758989410581,0.37534407999540553
26,2052,33,33,34,2,0.5459172258100397,0.3161163899449314,1.3761430399815917,0.28297257958564126,0.1885987761548863,0.2225084857486157
27,2053,33,33,34,2,0.5896877182451621,0.440030275225732,0.823329092178559,0.31623128331937517,0.1798648400809406,0.6742344250242328
28,2054,33,33,34,2,0.6439554508012202,0.30641219836406025,1.058165417013426,0.37749998563012505,0.26026709711698925,0.44476836332027864
29,2055,33,33,34,2,0.31271882747631446,0.27458886216675094,0.17218676505319705,0.15794361087047376,0.1514933803990144,0.31990269993789894
30,2056,33,33,34,2,0.4184862111086133,0.35195988292498726,0.4097221608919775,0.2242113579148365,0.18640667306285397,0.4471659494490141
31,2057,33,33,34,2,0.6319756920889542,0.33237918659430093,1.7854298030413351,0.31487967410323375,0.1932032039388113,0.2326785825033346
32,2058,33,33,34,2,0.7221812627830824,0.8770213430004881,0.8498443300155619,0.3854119401010686,0.12872526978513937,0.9272102185639544
33,2059,33,33,34,2,0.42816839579189636,0.34184350256262125,0.8743859348848363,0.20252643992608113,0.19053433596011948,0.21922146508105594
34,2060,33,33,34,2,0.34168839932761585,0.2701957826682754,0.35469175854008766,0.17656875660093682,0.12743079598528811,0.20625819864398842
35,2061,33,33,34,2,0.6190875358862904,0.2939852881597457,1.223280810614856,0.3098911271429156,0.2611057777471531,0.3329279759990835
36,2062,33,33,34,3,0.4462538224914097,0.31042010284261656,15.9414286864678,0.24928902102351244,0.33355142196320425,0.427660298990181
37,2063,33,33,34,2,0.9184097085847999,0.4304967954595947,911.940983538436,0.4407947800644677,0.3468362904886879,0.02718903716998593
38,2064,33,33,34,2,0.6149430648617163,0.3862624101804353,2.203154799831215,0.31458853767453293,0.27277298579727444,0.2020572557722467
39,2065,33,33,34,2,0.5598648198805,0.27412391848457573,0.6519211848226343,0.26820117206208927,0.32441871836892255,0.42229528514012316
40,2066,33,33,34,2,0.6559537337701457,0.3472479981832854,1.0214070937520343,0.3098290901865044,0.15222315539516496,0.37311603924340303
41,2067,33,33,34,2,0.6961312983516513,0.4002325268705573,2.279171486470228,0.4008702356267508,0.26797190795211046,0.31770093848099806
42,2068,33,33,34,2,0.5168524981484819,0.34815075655604893,1.8637536340843746,0.271948201467428,0.21193801270514787,0.2205350118573086
43,2069,33,33,34,2,0.5065221383076429,0.2835084823043352,3.6647815115979525,0.2695699922779241,0.21333023690086006,0.340324623439474
44,2070,33,33,34,2,0.20323952485741076,0.29145302160429637,-0.42450561896548533,0.09636319953271424,0.1984860246900555,0.17904661694416515
45,2071,33,33,34,2,0.5198862434071586,0.4233794492556076,3.263435148461362,0.2486715221444402,0.14882142557115308,0.20366578442252262
46,2072,33,33,34,2,0.7346397081559164,0.3681239573633471,1.4640304747506694,0.37826455140079435,0.1170192022881115,0.3626693506701642
47,2073,33,33,34,2,0.6423549652004705,0.31091487305886717,7.509415218646432,0.34529390337032,0.30895644460409394,0.16123672231110064
48,2074,33,33,34,2,0.5727587734070924,0.3723894103885485,26.710503318236352,0.25814174512864513,0.212679279715773,0.06426196141208498
49,2075,33,33,34,2,0.4378142595339631,0.3422155319753391,1.5689804036538906,0.2240634443388993,0.30429340229372087,0.17318849127004496
50,2076,33,33,34,2,0.4353262707081734,0.24501403130468286,0.42594957133693073,0.205461550091665,0.22248732290055187,0.32151560777493043
51,2077,33,33,34,2,0.4464987043535744,0.3485380702920758,0.6140877272903076,0.20624912709014293,0.15757323143842772,0.21820443486882563
52,2078,33,33,34,2,0.3676160232050101,0.2935081773040287,0.16989001425145694,0.1812291924892528,0.1848880045978779,0.3067522159668829
53,2079,33,33,34,2,0.6768699663433778,0.2924891620290811,1.6744225450280037,0.3172310887187302,0.2821951608738593,0.2806498282866137
54,2080,33,33,34,2,0.6354872013111021,0.304140093907898,0.8809803814376571,0.3440677433340725,0.1452398800337461,0.46339828624363266
55,2081,33,33,34,2,0.6567946894965068,0.4000756677518717,5.325855510551732,0.32879152180654236,0.1893549031091165,0.19117930595632177
56,2082,33,33,34,2,0.68517502717434,0.5057153904183099,33.44569794808276,0.4806545959481982,0.4072158497547893,0.07355002522253751
57,2083,33,33,34,2,0.3321162172299867,0.3397786856559964,0.6876725013050714,0.17400416991615858,0.13604248572967242,0.19948234081802751
58,2084,33,33,34,2,0.6911249815398359,0.35255370251722473,1.9516496586619336,0.34019844510888736,0.2042475011681658,0.26546072468048865
59,2085,33,33,34,2,0.3820704137694936,0.312654985879017,0.4263282277952619,0.20281087257537186,0.25994220570441995,0.21944586969991992
60,2086,33,33,34,2,0.35743117726482726,0.32698354843645316,1.2515969527954343,0.17971841230828642,0.23525977739166348,0.42515039224510104
61,2087,33,33,34,2,0.4885103548651063,0.31807641423554095,6.0067533933134385,0.25163176311749585,0.10703062777359718,0.3801420071407886
62,2088,33,33,34,2,0.4976901043399247,0.28945457461880797,0.8311915093109968,0.27601006042861687,0.3592988366794255,0.35301682921797933
63,2089,33,33,34,2,0.5772559148794857,0.3265694551459181,1.1640901698593793,0.2794292918455708,0.2837122336639719,0.2950323746683235
64,2090,33,33,34,2,0.699555790921094,0.4390756792096896,1.088775941395716,0.41125695278433805,0.14129509231627635,0.693497016140768
65,2091,33,33,34,2,0.7887641238276779,0.48444402650942836,193.62283260355963,0.4996309906737603,0.6099248765515917,0.04329511230056112
66,2092,33,33,34,2,0.40893640085514577,0.3123924704074927,36.78177747539067,0.24823260034384173,0.3458127818649278,0.07374657415594146
67,2093,33,33,34,2,0.7301810804317149,0.24257870640228982,1.7769854814551724,0.29098905808634146,0.14423124759419853,0.23933487250361343
68,2094,33,33,34,2,0.42082643472727266,0.38335909779238064,0.3029094557341664,0.21587457505600893,0.22197149121331816,0.3769477807612387
69,2095,33,33,34,2,0.874653092785855,0.4312886664613885,779.3428875318696,0.4995832496415741,0.33428312698428564,0.023672103620102688
70,2096,33,33,34,2,0.688382091854116,0.2743879141963542,2.60718067696548,0.3523689864781861,0.22919289229748574,0.21635377649929918
71,2097,33,33,34,2,0.5148572032687943,0.3263958369449943,0.724801134910557,0.2668565900846268,0.20680950380656665,0.38745659902470897
