run,seed,train_size,validation_size,test_size,polynomial_order,mean_rmse,sigma_rmse,nll,crps,calibration_error,mean_predicted_sigma
0,2026,33,33,34,2,0.6400809607264288,0.22655790293820394,0.7579854688189113,0.31947640076163314,0.0999658108069964,0.40681719754406626
1,2027,33,33,34,2,0.3363616656251801,0.22904819956524589,0.27888606110456604,0.18417127665954788,0.19731516427869822,0.346886364273995
2,2028,33,33,34,2,0.6207216741776529,0.37564213888553155,1.9978145182367195,0.343024265207453,0.20702149620382182,0.25595462833336236
3,2029,33,33,34,2,0.7353226303358118,0.23135354828581142,1.511938507332577,0.39971152712391894,0.30163729447898474,0.2765874801470538
4,2030,33,33,34,2,0.5736875437901825,0.2726077279398434,2.5764432753522315,0.30733419539695267,0.2909544212320929,0.3917037471193061
5,2031,33,33,34,2,0.7531063376199579,0.27781491421594035,6.704702872149364,0.4634867321720576,0.243801653589503,0.2654521333542708
6,2032,33,33,34,2,0.4418506350941478,0.23721978566263405,0.3588516831657367,0.2137710140683493,0.10312019560659236,0.28884384053240975
7,2033,33,33,34,2,0.521110271514404,0.3845545878591353,7.3759290119330965,0.3245273951645935,0.3606530853738045,0.11856572229770679
8,2034,33,33,34,2,0.591195682731531,0.24331833474306186,0.8575749751542666,0.2939184962316658,0.11306462990534896,0.37299971346016
9,2035,33,33,34,2,0.7822143656726416,0.3084726962402631,2.239692504928993,0.4026967173298267,0.24970176522049448,0.2824084501371062
10,2036,33,33,34,2,0.7584742254136814,0.21823502935981015,1.1439617356002616,0.37139719839932883,0.22332814884104202,0.38899867129551174
11,2037,33,33,34,2,0.512640148088088,0.26472583961553725,1.1448754624536883,0.29831755092120565,0.3827892319360146,0.2690939567197961
12,2038,33,33,34,2,0.8724966405042798,0.23105592734004204,1.7481312575388888,0.489597099363924,0.4111044870793451,0.45182542395699316
13,2039,33,33,34,2,0.3041338620134221,0.29933465085043653,1.0686320516687833,0.18324702612403165,0.1935624739953501,0.15568092979790804
14,2040,33,33,34,2,0.5766824266648264,0.1748730797639241,1.189299511710809,0.3059829415753475,0.18918293895906846,0.36509678276935037
15,2041,33,33,34,2,0.5580530118992773,0.1830592748518592,1.170528675536799,0.31040080448779195,0.15792880247097285,0.38382951172012386
16,2042,33,33,34,3,0.5426364205994918,0.17476206341784842,1.4035962617677908,0.28005405491422813,0.32275532333704227,0.24411087136953444
17,2043,33,33,34,2,0.9564613290514103,0.46719795633684646,1282.0042570282646,0.7175548057189105,0.5882352906791775,0.024194252884952982
18,2044,33,33,34,2,0.6762660181359957,0.21843200314230296,1.4258849633358874,0.3641227487658498,0.26374462774423224,0.40846773425706967
19,2045,33,33,34,2,0.5473296119293685,0.2689890189944776,0.7147612316287125,0.2946439825900578,0.17875778569943301,0.3878718619573992
20,2046,33,33,34,2,0.6045256884721802,0.21802460462390114,0.867988899633401,0.3106179464061462,0.1379950085801851,0.44074438945984773
21,2047,33,33,34,2,0.4463764598866812,0.21362550298069571,3.583719825458688,0.2565849882499766,0.20543906166835146,0.2890852665665218
22,2048,33,33,34,2,0.7172201888518726,0.30925973655099626,8.323940877487146,0.42813868996053595,0.3774550821768389,0.15140570011394217
23,2049,33,33,34,2,0.46082683817111436,0.23473109621415092,0.975229646599413,0.24307438785644636,0.2852786856479075,0.31076995131921764
24,2050,33,33,34,2,0.6190424475946523,0.1657379034825313,0.6455189356085094,0.30371451225905466,0.10573422089200524,0.39828356213419774
25,2051,33,33,34,2,0.5611943619421984,0.28899454784685985,0.7292243176601758,0.3025464636455959,0.18385003575328396,0.5333116186970306
26,2052,33,33,34,2,0.5877264887603327,0.2110796281165635,0.7199312074058467,0.28014715549303837,0.21385073021185683,0.4362221133034865
27,2053,33,33,34,2,0.45558390823497924,0.19586527366010528,0.4800810674386732,0.2373390788087475,0.2491882878314996,0.3832383766574368
28,2054,33,33,34,2,0.5812088271479927,0.17485516589933428,2.736153742930518,0.333360340260456,0.19562736277134157,0.3764004064250858
29,2055,33,33,34,2,0.4404817607677572,0.21009645996497434,0.6991934987492351,0.23598961820698228,0.1592281952277082,0.3162357133440657
30,2056,33,33,34,2,0.670319883857997,0.232931991948225,13.02003282239938,0.375926339520694,0.18587678632761095,0.33734251283943895
31,2057,33,33,34,2,0.5095909281922957,0.2322021558936877,0.7664337937063581,0.26644358456445716,0.1863619138288311,0.3497447997912257
32,2058,33,33,34,2,0.6039704971625312,0.1887524342755232,1.29987810074855,0.3170561461100466,0.1525782014055428,0.3925017956705715
33,2059,33,33,34,2,0.5579394538263314,0.2990261091427955,2.5756147140090664,0.32392280144917074,0.2747305494782476,0.19882338954968226
34,2060,33,33,34,2,0.6379618215502459,0.2054118965550891,1.1524470480839732,0.2841299121771739,0.17843374178031512,0.30851694515502215
35,2061,33,33,34,1,0.6966232315782125,0.24101096124501079,22.48116282616879,0.3937174071654241,0.26569334198171496,0.3280735215821545
36,2062,33,33,34,2,0.8183280827078139,0.31932604899903533,7.323413252534832,0.4985562008782775,0.4410885757871641,0.22489762257743495
37,2063,33,33,34,2,0.4708215044203473,0.18192697446731013,0.43691598675301585,0.23581178417932183,0.10501926747535983,0.4030177811771387
38,2064,33,33,34,2,0.6163213002232274,0.21174211739066093,1.6264027241528163,0.318380983405388,0.21891297374574842,0.36229216160435845
39,2065,33,33,34,2,0.8255011110266643,0.39700114251534613,11.874141823460706,0.48534635124966136,0.48091517647785875,0.1419591769244197
40,2066,33,33,34,2,0.60401820493584,0.2981121076708959,1.8874480360813526,0.31876280187998807,0.1708842060789279,0.2719377021580587
41,2067,33,33,34,2,0.5783001441740041,0.3139362809336336,0.8137674128080976,0.27584436397242096,0.17569265124229044,0.30947948011897647
42,2068,33,33,34,2,0.5819646148379781,0.350719776713201,0.5817200242043791,0.29166636913461663,0.09113773404826886,0.5035258130560935
43,2069,33,33,34,2,0.865094366839252,0.3033895995253817,1.767845155689361,0.46964733322714747,0.24895130562081846,0.42524964024110967
44,2070,33,33,34,2,0.5035631871854799,0.19904754323659085,0.2961914095854259,0.23366569879497737,0.10260712229752667,0.39826714562252435
45,2071,33,33,34,2,0.6457104767297585,0.25975517472454623,0.7732495159214673,0.32990410628588046,0.29376512676424316,0.5383784956276573
46,2072,33,33,34,2,0.33439084591208323,0.17299038374953266,0.3485273344173817,0.18709934164346806,0.07398551439780879,0.36457886325062316
47,2073,33,33,34,2,0.6397550810272636,0.2262422474112228,0.7818783613629848,0.32248682437995807,0.19068050694448646,0.5010512132537229
48,2074,33,33,34,2,0.408568566345972,0.2170082120161629,0.4519814441265365,0.21396015978459756,0.24121870605428852,0.2995527607161078
49,2075,33,33,34,2,0.6552200733684288,0.21604838189243036,0.8694665435716589,0.3423356477677494,0.17503984555925534,0.3849216387664129
50,2076,33,33,34,2,0.3958421218926547,0.22716092249632314,0.5758351679302304,0.22590167641929415,0.12606527957407426,0.47403422590999056
51,2077,33,33,34,2,0.5592511853711495,0.28814342048812913,0.5256274241306894,0.2732595471270815,0.10965940251269725,0.5333634241356409
